"","assay","condition","control","strain","trait","phenotype"
"379","l","abamectin","1percDMSO","QX138","mean.norm.EXT",-0.0310398330014398
"380","m","abamectin","1percDMSO","QX73","mean.norm.EXT",-0.0552382865359217
"381","e","abamectin","1percDMSO","QX40","mean.TOF",26.8365422521673
"382","j","abamectin","1percDMSO","QX68","mean.TOF",-16.9414279105894
"383","l","abamectin","1percDMSO","QX138","mean.TOF",20.3156389584893
"384","m","abamectin","1percDMSO","QX73","mean.TOF",6.19453310648036
"385","e","abamectin","1percDMSO","QX40","norm.n",1.7492795067828
"386","j","abamectin","1percDMSO","QX68","norm.n",-6.27897363819816
"387","l","abamectin","1percDMSO","QX138","norm.n",-5.90020505292529
"388","m","abamectin","1percDMSO","QX73","norm.n",-3.35401194551396
"389","f","abamectin","1percDMSO","QX203","mean.EXT",-47.4669385871672
"390","l","abamectin","1percDMSO","QX70","mean.EXT",-6.46578660529577
"391","f","abamectin","1percDMSO","QX203","mean.norm.EXT",-0.194327232114303
"392","l","abamectin","1percDMSO","QX70","mean.norm.EXT",-0.11594822323553
"393","f","abamectin","1percDMSO","QX203","mean.TOF",-4.80533715037001
"394","l","abamectin","1percDMSO","QX70","mean.TOF",18.1497192481743
"395","f","abamectin","1percDMSO","QX203","norm.n",7.91262207939539
"396","l","abamectin","1percDMSO","QX70","norm.n",-2.74055369463971
"397","d","abamectin","1percDMSO","QX34","mean.EXT",-90.7008542365819
"398","d","abamectin","1percDMSO","QX34","mean.norm.EXT",-0.169901294455794
"399","d","abamectin","1percDMSO","QX34","mean.TOF",-36.9143898108999
"400","d","abamectin","1percDMSO","QX34","norm.n",-2.45475978946874
"401","d","abamectin","1percDMSO","QX87","mean.EXT",-42.3676903776604
"402","d","abamectin","1percDMSO","QX87","mean.norm.EXT",-0.0843654870749079
"403","d","abamectin","1percDMSO","QX87","mean.TOF",-10.1506689859961
"404","d","abamectin","1percDMSO","QX87","norm.n",1.84254779598855
"405","d","abamectin","1percDMSO","QX122","mean.EXT",63.4907099381477
"406","d","abamectin","1percDMSO","QX122","mean.norm.EXT",-0.0608291394555274
"407","d","abamectin","1percDMSO","QX122","mean.TOF",42.0162789655098
"408","d","abamectin","1percDMSO","QX122","norm.n",6.1057255966774
"409","d","abamectin","1percDMSO","QX216","mean.EXT",20.4117633062759
"410","d","abamectin","1percDMSO","QX216","mean.norm.EXT",-0.0050919046711622
"411","d","abamectin","1percDMSO","QX216","mean.TOF",4.76299667946086
"412","d","abamectin","1percDMSO","QX216","norm.n",-0.507470992224163
"413","d","abamectin","1percDMSO","QX110","mean.EXT",-12.1719821438228
"414","d","abamectin","1percDMSO","QX110","mean.norm.EXT",-0.0570278731601196
"415","d","abamectin","1percDMSO","QX110","mean.TOF",-14.7623691958082
"416","d","abamectin","1percDMSO","QX110","norm.n",-12.6219950001843
"417","d","abamectin","1percDMSO","QX8","mean.EXT",16.6328053774017
"418","d","abamectin","1percDMSO","QX8","mean.norm.EXT",0.0337069195384888
"419","d","abamectin","1percDMSO","QX8","mean.TOF",5.99958726538119
"420","d","abamectin","1percDMSO","QX8","norm.n",1.34842601627187
"421","d","abamectin","1percDMSO","QX106","mean.EXT",-63.1441460868943
"422","d","abamectin","1percDMSO","QX106","mean.norm.EXT",-0.207223637333247
"423","d","abamectin","1percDMSO","QX106","mean.TOF",-12.2891261578088
"424","d","abamectin","1percDMSO","QX106","norm.n",-10.730831118822
"425","d","abamectin","1percDMSO","QX6","mean.EXT",11.4487342998286
"426","d","abamectin","1percDMSO","QX6","mean.norm.EXT",-0.0763532294344003
"427","d","abamectin","1percDMSO","QX6","mean.TOF",21.5084082135515
"428","d","abamectin","1percDMSO","QX6","norm.n",8.45574438489012
