"","date","experiment","round","assay","plate","condition","control","strain","row","col","trait","phenotype"
"88","20171009","abamectinNILs",1,"a",7,"DMSO","None","CB4856","C","12","mean.TOF",257.60824742268
"89","20171009","abamectinNILs",1,"a",7,"DMSO","None","N2","C","2","mean.TOF",220.925925925926
"90","20171009","abamectinNILs",1,"a",7,"DMSO","None","FX3448","C","6","mean.TOF",218.631578947368
"91","20171009","abamectinNILs",1,"a",7,"DMSO","None","FX3518","D","1","mean.TOF",180.081081081081
"92","20171009","abamectinNILs",1,"a",7,"DMSO","None","CB4856","D","12","mean.TOF",270.921397379913
"93","20171009","abamectinNILs",1,"a",7,"DMSO","None","FX3448","D","6","mean.TOF",192.252173913043
"94","20171009","abamectinNILs",1,"a",7,"DMSO","None","FX3518","E","1","mean.TOF",200.510288065844
"95","20171009","abamectinNILs",1,"a",7,"DMSO","None","CB4856","E","12","mean.TOF",254.649484536082
"96","20171009","abamectinNILs",1,"a",7,"DMSO","None","N2","E","2","mean.TOF",230.085910652921
"97","20171009","abamectinNILs",1,"a",7,"DMSO","None","FX3448","E","6","mean.TOF",214.710144927536
"98","20171009","abamectinNILs",1,"a",7,"DMSO","None","FX3518","F","1","mean.TOF",215.457227138643
"99","20171009","abamectinNILs",1,"a",7,"DMSO","None","N2","F","2","mean.TOF",244.630363036304
"100","20171009","abamectinNILs",1,"a",7,"DMSO","None","FX3448","F","6","mean.TOF",216.117346938776
"101","20171009","abamectinNILs",1,"a",7,"DMSO","None","CB4856","G","12","mean.TOF",248.706730769231
"102","20171009","abamectinNILs",1,"a",7,"DMSO","None","N2","G","2","mean.TOF",233.305263157895
"103","20171009","abamectinNILs",1,"a",7,"DMSO","None","FX3448","G","6","mean.TOF",204.545454545455
"104","20171009","abamectinNILs",1,"a",9,"DMSO","None","FX3518","A","1","mean.TOF",231.96875
"105","20171009","abamectinNILs",1,"a",9,"DMSO","None","CB4856","A","12","mean.TOF",266.869017632242
"106","20171009","abamectinNILs",1,"a",9,"DMSO","None","N2","A","2","mean.TOF",254.947058823529
"107","20171009","abamectinNILs",1,"a",9,"DMSO","None","FX3448","A","6","mean.TOF",211.260869565217
"108","20171009","abamectinNILs",1,"a",9,"DMSO","None","FX3518","B","1","mean.TOF",218.918309859155
"109","20171009","abamectinNILs",1,"a",9,"DMSO","None","CB4856","B","12","mean.TOF",265.72131147541
"110","20171009","abamectinNILs",1,"a",9,"DMSO","None","N2","B","2","mean.TOF",230.92349726776
"111","20171009","abamectinNILs",1,"a",9,"DMSO","None","FX3448","B","6","mean.TOF",226.766891891892
"112","20171009","abamectinNILs",1,"a",9,"DMSO","None","FX3518","C","1","mean.TOF",201.294871794872
"113","20171009","abamectinNILs",1,"a",9,"DMSO","None","CB4856","C","12","mean.TOF",275.962264150943
"114","20171009","abamectinNILs",1,"a",9,"DMSO","None","N2","C","2","mean.TOF",242.173611111111
"115","20171009","abamectinNILs",1,"a",9,"DMSO","None","FX3448","C","6","mean.TOF",213.44776119403
"116","20171009","abamectinNILs",1,"a",9,"DMSO","None","FX3518","D","1","mean.TOF",190.677165354331
"117","20171009","abamectinNILs",1,"a",9,"DMSO","None","CB4856","D","12","mean.TOF",246.653495440729
"118","20171009","abamectinNILs",1,"a",9,"DMSO","None","N2","D","2","mean.TOF",245.731182795699
"119","20171009","abamectinNILs",1,"a",9,"DMSO","None","FX3448","D","6","mean.TOF",206.632258064516
"120","20171009","abamectinNILs",1,"a",9,"DMSO","None","FX3518","E","1","mean.TOF",216.463687150838
"121","20171009","abamectinNILs",1,"a",9,"DMSO","None","CB4856","E","12","mean.TOF",269.012987012987
